product_id,nome,categoria,preco_unitario
1000,Sardinha 1916 (Timeless),Sardinhas Intemporais,9.0
1001,Sardinha 1917 (Timeless),Sardinhas Intemporais,9.0
1002,Sardinha 1918 (Timeless),Sardinhas Intemporais,9.0
1003,Sardinha 1919 (Timeless),Sardinhas Intemporais,9.0
1004,Sardinha 1920 (Timeless),Sardinhas Intemporais,9.0
1005,Sardinha 1921 (Timeless),Sardinhas Intemporais,9.0
1006,Sardinha 1922 (Timeless),Sardinhas Intemporais,9.0
1007,Sardinha 1923 (Timeless),Sardinhas Intemporais,9.0
1008,Sardinha 1924 (Timeless),Sardinhas Intemporais,9.0
1009,Sardinha 1925 (Timeless),Sardinhas Intemporais,9.0
1010,Sardinha 1926 (Timeless),Sardinhas Intemporais,9.0
1011,Sardinha 1927 (Timeless),Sardinhas Intemporais,9.0
1012,Sardinha 1928 (Timeless),Sardinhas Intemporais,9.0
1013,Sardinha 1929 (Timeless),Sardinhas Intemporais,9.0
1014,Sardinha 1930 (Timeless),Sardinhas Intemporais,9.0
1015,Sardinha 1931 (Timeless),Sardinhas Intemporais,9.0
1016,Sardinha 1932 (Timeless),Sardinhas Intemporais,9.0
1017,Sardinha 1933 (Timeless),Sardinhas Intemporais,9.0
1018,Sardinha 1934 (Timeless),Sardinhas Intemporais,9.0
1019,Sardinha 1935 (Timeless),Sardinhas Intemporais,9.0
1020,Sardinha 1936 (Timeless),Sardinhas Intemporais,9.0
1021,Sardinha 1937 (Timeless),Sardinhas Intemporais,9.0
1022,Sardinha 1938 (Timeless),Sardinhas Intemporais,9.0
1023,Sardinha 1939 (Timeless),Sardinhas Intemporais,9.0
1024,Sardinha 1940 (Timeless),Sardinhas Intemporais,9.0
1025,Sardinha 1941 (Timeless),Sardinhas Intemporais,9.0
1026,Sardinha 1942 (Timeless),Sardinhas Intemporais,9.0
1027,Sardinha 1943 (Timeless),Sardinhas Intemporais,9.0
1028,Sardinha 1944 (Timeless),Sardinhas Intemporais,9.0
1029,Sardinha 1945 (Timeless),Sardinhas Intemporais,9.0
1030,Sardinha 1946 (Timeless),Sardinhas Intemporais,9.0
1031,Sardinha 1947 (Timeless),Sardinhas Intemporais,9.0
1032,Sardinha 1948 (Timeless),Sardinhas Intemporais,9.0
1033,Sardinha 1949 (Timeless),Sardinhas Intemporais,9.0
1034,Sardinha 1950 (Timeless),Sardinhas Intemporais,9.0
1035,Sardinha 1951 (Timeless),Sardinhas Intemporais,9.0
1036,Sardinha 1952 (Timeless),Sardinhas Intemporais,9.0
1037,Sardinha 1953 (Timeless),Sardinhas Intemporais,9.0
1038,Sardinha 1954 (Timeless),Sardinhas Intemporais,9.0
1039,Sardinha 1955 (Timeless),Sardinhas Intemporais,9.0
1040,Sardinha 1956 (Timeless),Sardinhas Intemporais,9.0
1041,Sardinha 1957 (Timeless),Sardinhas Intemporais,9.0
1042,Sardinha 1958 (Timeless),Sardinhas Intemporais,9.0
1043,Sardinha 1959 (Timeless),Sardinhas Intemporais,9.0
1044,Sardinha 1960 (Timeless),Sardinhas Intemporais,9.0
1045,Sardinha 1961 (Timeless),Sardinhas Intemporais,9.0
1046,Sardinha 1962 (Timeless),Sardinhas Intemporais,9.0
1047,Sardinha 1963 (Timeless),Sardinhas Intemporais,9.0
1048,Sardinha 1964 (Timeless),Sardinhas Intemporais,9.0
1049,Sardinha 1965 (Timeless),Sardinhas Intemporais,9.0
1050,Sardinha 1966 (Timeless),Sardinhas Intemporais,9.0
1051,Sardinha 1967 (Timeless),Sardinhas Intemporais,9.0
1052,Sardinha 1968 (Timeless),Sardinhas Intemporais,9.0
1053,Sardinha 1969 (Timeless),Sardinhas Intemporais,9.0
1054,Sardinha 1970 (Timeless),Sardinhas Intemporais,9.0
1055,Sardinha 1971 (Timeless),Sardinhas Intemporais,9.0
1056,Sardinha 1972 (Timeless),Sardinhas Intemporais,9.0
1057,Sardinha 1973 (Timeless),Sardinhas Intemporais,9.0
1058,Sardinha 1974 (Timeless),Sardinhas Intemporais,9.0
1059,Sardinha 1975 (Timeless),Sardinhas Intemporais,9.0
1060,Sardinha 1976 (Timeless),Sardinhas Intemporais,9.0
1061,Sardinha 1977 (Timeless),Sardinhas Intemporais,9.0
1062,Sardinha 1978 (Timeless),Sardinhas Intemporais,9.0
1063,Sardinha 1979 (Timeless),Sardinhas Intemporais,9.0
1064,Sardinha 1980 (Timeless),Sardinhas Intemporais,9.0
1065,Sardinha 1981 (Timeless),Sardinhas Intemporais,9.0
1066,Sardinha 1982 (Timeless),Sardinhas Intemporais,9.0
1067,Sardinha 1983 (Timeless),Sardinhas Intemporais,9.0
1068,Sardinha 1984 (Timeless),Sardinhas Intemporais,9.0
1069,Sardinha 1985 (Timeless),Sardinhas Intemporais,9.0
1070,Sardinha 1986 (Timeless),Sardinhas Intemporais,9.0
1071,Sardinha 1987 (Timeless),Sardinhas Intemporais,9.0
1072,Sardinha 1988 (Timeless),Sardinhas Intemporais,9.0
1073,Sardinha 1989 (Timeless),Sardinhas Intemporais,9.0
1074,Sardinha 1990 (Timeless),Sardinhas Intemporais,9.0
1075,Sardinha 1991 (Timeless),Sardinhas Intemporais,9.0
1076,Sardinha 1992 (Timeless),Sardinhas Intemporais,9.0
1077,Sardinha 1993 (Timeless),Sardinhas Intemporais,9.0
1078,Sardinha 1994 (Timeless),Sardinhas Intemporais,9.0
1079,Sardinha 1995 (Timeless),Sardinhas Intemporais,9.0
1080,Sardinha 1996 (Timeless),Sardinhas Intemporais,9.0
1081,Sardinha 1997 (Timeless),Sardinhas Intemporais,9.0
1082,Sardinha 1998 (Timeless),Sardinhas Intemporais,9.0
1083,Sardinha 1999 (Timeless),Sardinhas Intemporais,9.0
1084,Sardinha 2000 (Timeless),Sardinhas Intemporais,9.0
1085,Sardinha 2001 (Timeless),Sardinhas Intemporais,9.0
1086,Sardinha 2002 (Timeless),Sardinhas Intemporais,9.0
1087,Sardinha 2003 (Timeless),Sardinhas Intemporais,9.0
1088,Sardinha 2004 (Timeless),Sardinhas Intemporais,9.0
1089,Sardinha 2005 (Timeless),Sardinhas Intemporais,9.0
1090,Sardinha 2006 (Timeless),Sardinhas Intemporais,9.0
1091,Sardinha 2007 (Timeless),Sardinhas Intemporais,9.0
1092,Sardinha 2008 (Timeless),Sardinhas Intemporais,9.0
1093,Sardinha 2009 (Timeless),Sardinhas Intemporais,9.0
1094,Sardinha 2010 (Timeless),Sardinhas Intemporais,9.0
1095,Sardinha 2011 (Timeless),Sardinhas Intemporais,9.0
1096,Sardinha 2012 (Timeless),Sardinhas Intemporais,9.0
1097,Sardinha 2013 (Timeless),Sardinhas Intemporais,9.0
1098,Sardinha 2014 (Timeless),Sardinhas Intemporais,9.0
1099,Sardinha 2015 (Timeless),Sardinhas Intemporais,9.0
1100,Sardinha 2016 (Timeless),Sardinhas Intemporais,9.0
1101,Sardinha 2017 (Timeless),Sardinhas Intemporais,9.0
1102,Sardinha 2018 (Timeless),Sardinhas Intemporais,9.0
1103,Sardinha 2019 (Timeless),Sardinhas Intemporais,9.0
1104,Sardinha 2020 (Timeless),Sardinhas Intemporais,9.0
1105,Sardinha 2021 (Timeless),Sardinhas Intemporais,9.0
1106,Sardinha 2022 (Timeless),Sardinhas Intemporais,9.0
1107,Sardinha 2023 (Timeless),Sardinhas Intemporais,9.0
1108,Sardinha 2024 (Timeless),Sardinhas Intemporais,9.0
1109,Sardinha 2025 (Timeless),Sardinhas Intemporais,9.0
